step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
324,TRANSFER,450458.78,450458.78,0.0,0.0,0.0,1
353,TRANSFER,275082.0,275082.0,0.0,0.0,0.0,1
166,PAYMENT,23906.32,95127.0,71220.68,0.0,0.0,0
325,CASH_IN,108450.61,383.0,108833.61,1.01108906e+06,902638.44,0
406,CASH_OUT,74312.98,0.0,0.0,160252.31,234565.3,0
15,CASH_OUT,455215.4,135.0,0.0,507764.5,968577.94,0
258,CASH_IN,214150.8,41743.0,255893.8,0.0,0.0,0
46,CASH_IN,51883.73,1.5157329e+07,1.5209213e+07,8.0319965e+06,7.980113e+06,0
305,CASH_OUT,1e+07,1e+07,0.0,0.0,1e+07,1
137,CASH_OUT,147859.4,23274.0,0.0,699833.8,847693.25,0
403,CASH_OUT,260759.72,21250.0,0.0,0.0,260759.72,0
376,CASH_IN,99722.9,1.053027e+07,1.0629993e+07,637660.06,537937.2,0
137,CASH_IN,317231.34,633190.44,950421.75,5.042166e+06,4.7249345e+06,0
590,TRANSFER,802483.9,802483.9,0.0,0.0,0.0,1
80,CASH_OUT,244814.12,244814.12,0.0,7.1068555e+06,7.3516695e+06,1
42,PAYMENT,14681.52,19789.0,5107.48,0.0,0.0,0
21,PAYMENT,44814.28,410220.44,365406.16,0.0,0.0,0
160,CASH_OUT,208807.55,0.0,0.0,662433.6,871241.2,0
326,TRANSFER,15177.97,15177.97,0.0,0.0,0.0,1
20,TRANSFER,255393.4,0.0,0.0,1.251967e+06,1.5073604e+06,0
363,CASH_OUT,7.7035745e+06,7.7035745e+06,0.0,0.0,7.7035745e+06,1
11,CASH_IN,358367.53,296836.34,655203.9,424960.8,66593.28,0
36,CASH_OUT,187241.05,0.0,0.0,4.0681782e+06,4.2554195e+06,0
16,PAYMENT,1077.82,0.0,0.0,0.0,0.0,0
204,PAYMENT,1995.24,31347.0,29351.76,0.0,0.0,0
79,TRANSFER,432254.84,432254.84,0.0,0.0,0.0,1
37,CASH_OUT,198548.36,23160.0,0.0,252609.38,451157.72,0
21,PAYMENT,600.89,101562.0,100961.11,0.0,0.0,0
225,CASH_OUT,287659.88,301842.0,14182.12,9.075531e+06,9.36319e+06,0
354,PAYMENT,25101.72,0.0,0.0,0.0,0.0,0
156,CASH_OUT,284688.03,0.0,0.0,2.8239572e+06,3.1086455e+06,0
686,CASH_OUT,160088.69,160088.69,0.0,301078.62,461167.3,1
257,PAYMENT,5203.59,223683.56,218479.97,0.0,0.0,0
403,CASH_OUT,102417.08,50705.0,0.0,0.0,102417.08,0
228,PAYMENT,2540.13,25.0,0.0,0.0,0.0,0
642,TRANSFER,450060.38,450060.38,0.0,0.0,0.0,1
373,CASH_OUT,109978.7,6871.0,0.0,246963.84,356942.53,0
403,TRANSFER,2.1783035e+06,2.1783035e+06,0.0,0.0,0.0,1
269,CASH_OUT,48412.47,48412.47,0.0,359164.1,407576.6,1
348,CASH_IN,370502.44,8.362016e+06,8.732519e+06,386916.06,16413.63,0
20,PAYMENT,32848.66,81239.39,48390.73,0.0,0.0,0
493,TRANSFER,605108.4,605108.4,0.0,0.0,0.0,1
122,CASH_OUT,990857.5,990857.5,0.0,679698.5,1.670556e+06,1
562,TRANSFER,203881.95,203881.95,0.0,0.0,0.0,1
209,CASH_OUT,363269.06,117.0,0.0,126785.24,490054.28,0
260,PAYMENT,2677.82,0.0,0.0,0.0,0.0,0
40,PAYMENT,15490.93,2246.0,0.0,0.0,0.0,0
594,CASH_IN,27396.86,6.5114535e+06,6.5388505e+06,61327.65,33930.8,0
81,TRANSFER,221936.6,221936.6,0.0,0.0,0.0,1
248,TRANSFER,4.011314e+06,4.011314e+06,0.0,0.0,0.0,1
699,TRANSFER,162326.52,162326.52,0.0,0.0,0.0,1
309,PAYMENT,5851.52,0.0,0.0,0.0,0.0,0
17,PAYMENT,17339.53,100889.0,83549.47,0.0,0.0,0
260,CASH_OUT,64588.94,29832.0,0.0,140262.33,204851.27,0
191,PAYMENT,12685.96,616012.06,603326.1,0.0,0.0,0
208,CASH_OUT,84345.5,0.0,0.0,3.9086162e+06,3.9929618e+06,0
304,CASH_IN,317467.4,1.1051664e+06,1.4226338e+06,805694.56,488227.16,0
577,CASH_OUT,727793.0,727793.0,0.0,456471.75,1.1842648e+06,1
425,TRANSFER,460434.47,460434.47,0.0,0.0,0.0,1
561,TRANSFER,348983.88,348983.88,0.0,0.0,0.0,1
399,PAYMENT,39680.96,560738.25,521057.3,0.0,0.0,0
688,TRANSFER,735329.1,735329.1,0.0,0.0,0.0,1
134,CASH_OUT,332390.06,0.0,0.0,750815.4,1.0832055e+06,0
283,PAYMENT,13478.28,0.0,0.0,0.0,0.0,0
116,TRANSFER,2.6948572e+06,2.6948572e+06,0.0,0.0,0.0,1
276,TRANSFER,362671.22,0.0,0.0,710873.0,1.0735441e+06,0
13,CASH_OUT,95082.23,13407.0,0.0,340150.84,250910.77,0
277,CASH_OUT,28196.52,205998.0,177801.48,136928.95,165125.48,0
257,CASH_OUT,149553.03,92231.0,0.0,1.0603231e+06,1.2098761e+06,0
227,TRANSFER,763366.8,19295.0,0.0,0.0,763366.8,0
186,CASH_OUT,179321.12,179321.12,0.0,0.0,179321.12,1
210,CASH_OUT,88779.06,96224.85,7445.79,1.1213906e+06,1.1559349e+06,0
387,TRANSFER,143501.7,143501.7,0.0,0.0,0.0,1
401,CASH_OUT,19511.35,19511.35,0.0,18785.78,38297.13,1
356,CASH_OUT,69893.67,605486.0,535592.3,81715.67,151609.34,0
423,CASH_OUT,207241.52,207241.52,0.0,0.0,207241.52,1
240,CASH_OUT,103949.5,103949.5,0.0,0.0,103949.5,1
10,CASH_OUT,51838.11,0.0,0.0,657911.5,709749.6,0
305,CASH_IN,116765.92,1.2119091e+06,1.328675e+06,215770.88,99004.95,0
186,CASH_OUT,331552.9,24522.0,0.0,0.0,331552.9,0
227,TRANSFER,4.0759565e+06,4.0759565e+06,0.0,0.0,0.0,1
204,PAYMENT,36566.89,0.0,0.0,0.0,0.0,0
325,CASH_OUT,192159.12,0.0,0.0,454118.66,646277.8,0
396,CASH_OUT,233699.25,233699.25,0.0,0.0,233699.25,1
350,PAYMENT,15744.35,174781.0,159036.66,0.0,0.0,0
138,PAYMENT,621.44,158319.44,157697.98,0.0,0.0,0
303,CASH_OUT,138625.88,0.0,0.0,208571.22,347197.1,0
372,TRANSFER,404621.03,150501.0,0.0,8.92856e+06,9.333181e+06,0
203,TRANSFER,221837.4,0.0,0.0,749691.06,971528.5,0
689,TRANSFER,6.1743855e+06,6.1743855e+06,0.0,0.0,0.0,1
317,CASH_OUT,7535.58,7535.58,0.0,44609.54,52145.11,1
205,CASH_IN,149128.9,1.9014042e+07,1.916317e+07,5.0333195e+06,4.8841905e+06,0
316,TRANSFER,1.3402636e+06,1.3402636e+06,0.0,0.0,0.0,1
444,TRANSFER,1.1081402e+06,1.1081402e+06,0.0,0.0,0.0,1
675,TRANSFER,43440.97,43440.97,0.0,0.0,0.0,1
378,CASH_IN,28432.58,133093.0,161525.58,0.0,0.0,0
206,TRANSFER,154196.48,154196.48,0.0,0.0,0.0,1
695,CASH_OUT,665676.44,665676.44,0.0,0.0,665676.44,1
522,CASH_OUT,545780.7,545780.7,0.0,0.0,545780.7,1
402,CASH_IN,260634.19,5.239982e+06,5.5006165e+06,446528.88,185894.69,0
401,CASH_OUT,9949.77,0.0,0.0,68135.61,78085.38,0
207,CASH_OUT,168979.84,13442.0,0.0,8.702348e+06,8.871328e+06,0
138,CASH_IN,50221.9,11347.0,61568.9,1.1332828e+06,968005.75,0
465,TRANSFER,2.577489e+06,2.577489e+06,0.0,0.0,0.0,1
178,PAYMENT,1938.08,100532.0,98593.92,0.0,0.0,0
330,TRANSFER,295432.9,0.0,0.0,501247.6,796680.5,0
334,CASH_OUT,79251.24,44683.0,0.0,592236.25,671487.5,0
357,TRANSFER,484493.06,484493.06,0.0,0.0,0.0,1
329,CASH_IN,310756.56,336247.0,647003.56,148669.22,0.0,0
398,CASH_OUT,304321.72,0.0,0.0,3.452432e+06,3.7567538e+06,0
181,CASH_OUT,60737.67,227741.0,167003.33,969191.4,1.029929e+06,0
161,PAYMENT,320.94,0.0,0.0,0.0,0.0,0
350,CASH_OUT,330741.6,185.0,0.0,1.1227319e+06,1.4534735e+06,0
241,CASH_OUT,989966.56,989966.56,0.0,0.0,989966.56,1
290,CASH_OUT,559565.8,559565.8,0.0,310264.16,869830.0,1
395,CASH_OUT,195279.31,8034.0,0.0,0.0,195279.31,0
190,CASH_IN,116074.7,1.2980038e+07,1.3096113e+07,280736.66,164661.94,0
305,PAYMENT,11731.27,209147.58,197416.31,0.0,0.0,0
469,PAYMENT,17304.07,107533.0,90228.93,0.0,0.0,0
608,TRANSFER,277048.47,277048.47,0.0,0.0,0.0,1
174,TRANSFER,18887.22,18887.22,0.0,0.0,0.0,1
440,CASH_OUT,4.339822e+06,4.339822e+06,0.0,0.0,4.339822e+06,1
186,CASH_OUT,327282.9,327282.9,0.0,83491.6,410774.53,1
72,TRANSFER,730574.4,730574.4,0.0,0.0,0.0,1
397,CASH_IN,172063.48,2.6092485e+06,2.781312e+06,188005.81,15942.34,0
163,PAYMENT,23156.41,0.0,0.0,0.0,0.0,0
659,TRANSFER,1.4679876e+06,1.4679876e+06,0.0,0.0,0.0,1
514,TRANSFER,10880.26,10880.26,0.0,0.0,0.0,1
259,PAYMENT,11764.88,51898.0,40133.12,0.0,0.0,0
607,TRANSFER,135428.39,135428.39,0.0,0.0,0.0,1
580,CASH_OUT,835770.8,835770.8,0.0,1.4909791e+06,2.32675e+06,1
13,CASH_IN,210564.12,3.9065192e+06,4.1170835e+06,2.7498732e+06,2.6635792e+06,0
234,PAYMENT,6367.65,0.0,0.0,0.0,0.0,0
525,PAYMENT,35291.47,22664.0,0.0,0.0,0.0,0
411,TRANSFER,427373.66,427373.66,0.0,0.0,0.0,1
323,CASH_OUT,143582.14,6907.71,0.0,564236.5,707818.7,0
414,TRANSFER,216000.95,216000.95,0.0,0.0,0.0,1
231,CASH_IN,294089.12,8.95117e+06,9.245259e+06,412625.7,118536.57,0
35,TRANSFER,122032.62,122032.62,0.0,0.0,0.0,1
375,CASH_OUT,385567.2,385567.2,0.0,0.0,385567.2,1
480,TRANSFER,181104.66,181104.66,0.0,0.0,0.0,1
194,CASH_OUT,21741.36,21741.36,0.0,1.2911689e+06,1.3129102e+06,1
6,PAYMENT,9518.37,0.0,0.0,0.0,0.0,0
188,PAYMENT,9645.27,430.0,0.0,0.0,0.0,0
90,CASH_OUT,703833.5,703833.5,0.0,0.0,703833.5,1
568,CASH_OUT,32521.24,32521.24,0.0,327985.2,360506.4,1
534,TRANSFER,492896.75,492896.75,0.0,0.0,0.0,1
595,CASH_IN,31308.67,153894.0,185202.67,0.0,0.0,0
167,PAYMENT,4216.34,46778.0,42561.66,0.0,0.0,0
250,PAYMENT,7054.43,42728.69,35674.26,0.0,0.0,0
731,CASH_OUT,81677.17,81677.17,0.0,130887.69,212564.86,1
397,PAYMENT,852.23,0.0,0.0,0.0,0.0,0
393,PAYMENT,26313.37,0.0,0.0,0.0,0.0,0
688,PAYMENT,9408.17,0.0,0.0,0.0,0.0,0
160,CASH_OUT,222880.39,0.0,0.0,1.3843455e+06,1.6072259e+06,0
300,CASH_OUT,2797.2,1008.0,0.0,0.0,2797.2,0
251,CASH_OUT,609416.2,609416.2,0.0,4.316294e+06,4.92571e+06,1
299,CASH_OUT,210830.61,439.0,0.0,3.7885082e+06,3.9993388e+06,0
700,CASH_OUT,113447.92,113447.92,0.0,4.1255418e+06,4.2389895e+06,1
68,TRANSFER,915266.6,915266.6,0.0,0.0,0.0,1
212,CASH_OUT,18715.32,40694.0,21978.68,696088.4,714803.7,0
459,TRANSFER,277611.1,277611.1,0.0,0.0,0.0,1
229,PAYMENT,8200.25,11440.0,3239.75,0.0,0.0,0
674,CASH_OUT,6.250439e+06,6.250439e+06,0.0,0.0,6.250439e+06,1
283,CASH_IN,13265.63,2.7142496e+07,2.7155762e+07,393693.34,380427.72,0
77,TRANSFER,239473.84,239473.84,0.0,0.0,0.0,1
286,PAYMENT,5512.33,210375.0,204862.67,0.0,0.0,0
149,TRANSFER,5.4772725e+06,5.4772725e+06,0.0,0.0,0.0,1
563,CASH_OUT,1.6769368e+06,1.6769368e+06,0.0,40039.54,1.7169764e+06,1
298,CASH_OUT,101933.05,151.0,0.0,53484.49,155417.55,0
326,CASH_OUT,49049.97,0.0,0.0,126807.55,175857.53,0
322,CASH_OUT,153798.61,101093.0,0.0,0.0,153798.61,0
521,CASH_OUT,28835.93,28835.93,0.0,263633.62,292469.56,1
595,CASH_OUT,178341.5,31255.0,0.0,3.1319305e+06,3.310272e+06,0
197,CASH_OUT,1.9614266e+06,1.9614266e+06,0.0,1329.34,1.9627559e+06,1
47,CASH_OUT,215091.14,9256.0,0.0,424380.25,639471.4,0
415,TRANSFER,3.2421838e+06,3.2421838e+06,0.0,0.0,0.0,1
155,CASH_IN,327850.88,119272.0,447122.88,1.0243369e+07,9.915518e+06,0
456,TRANSFER,760984.56,760984.56,0.0,0.0,0.0,1
18,CASH_IN,194404.8,6.8330905e+06,7.0274955e+06,343161.53,148756.72,0
421,TRANSFER,5.455966e+06,5.455966e+06,0.0,0.0,0.0,1
142,TRANSFER,346374.53,346374.53,0.0,0.0,0.0,1
263,PAYMENT,3935.5,30151.46,26215.96,0.0,0.0,0
155,PAYMENT,15447.69,0.0,0.0,0.0,0.0,0
162,CASH_OUT,183806.31,19391.0,0.0,382572.2,566378.5,0
91,TRANSFER,28308.97,28308.97,0.0,0.0,0.0,1
236,PAYMENT,958.93,0.0,0.0,0.0,0.0,0
571,TRANSFER,272637.22,272637.22,0.0,0.0,0.0,1
284,CASH_OUT,182034.1,5629.0,0.0,1.1028446e+06,1.2848786e+06,0
33,TRANSFER,214975.9,214975.9,0.0,0.0,0.0,1
321,DEBIT,4965.16,33697.0,28731.84,104613.29,109578.44,0
134,TRANSFER,2.4601102e+06,2.4601102e+06,0.0,0.0,0.0,1
322,CASH_OUT,9816.83,0.0,0.0,184475.77,194292.6,0
129,PAYMENT,23592.16,863269.6,839677.44,0.0,0.0,0
42,TRANSFER,410898.62,502094.0,91195.39,26560.26,437458.88,0
18,TRANSFER,9131.0,9131.0,0.0,0.0,0.0,1
617,TRANSFER,1.01320875e+06,1.01320875e+06,0.0,0.0,0.0,1
481,TRANSFER,1.7101804e+06,1.7101804e+06,0.0,0.0,0.0,1
231,CASH_OUT,36477.37,40083.0,3605.63,2.0237666e+06,2.060244e+06,0
281,CASH_OUT,274512.84,0.0,0.0,1.317962e+06,1.5924749e+06,0
126,CASH_OUT,5.2453755e+06,5.2453755e+06,0.0,0.0,5.2453755e+06,1
280,PAYMENT,2821.33,5994.0,3172.67,0.0,0.0,0
420,CASH_OUT,1.4641605e+06,1.4641605e+06,0.0,462739.94,1.9269005e+06,1
249,CASH_OUT,358440.66,358440.66,0.0,107972.49,466413.16,1
716,CASH_OUT,455386.56,455386.56,0.0,0.0,455386.56,1
443,TRANSFER,1.7956228e+06,1.7956228e+06,0.0,0.0,0.0,1
99,TRANSFER,130653.37,130653.37,0.0,0.0,0.0,1
15,CASH_IN,32902.63,7.893764e+06,7.9266665e+06,297200.22,397947.2,0
354,TRANSFER,283429.1,283429.1,0.0,0.0,0.0,1
281,TRANSFER,556720.8,556720.8,0.0,0.0,0.0,1
358,CASH_IN,65832.52,2.6721385e+06,2.737971e+06,144036.3,78203.77,0
346,PAYMENT,6229.72,0.0,0.0,0.0,0.0,0
278,CASH_IN,264728.38,9.19129e+06,9.456019e+06,1.7463852e+06,1.4816569e+06,0
84,TRANSFER,2.6270705e+06,2.6270705e+06,0.0,0.0,0.0,1
208,CASH_OUT,50820.71,50820.71,0.0,0.0,50820.71,1
403,CASH_OUT,16102.73,0.0,0.0,100794.7,116897.44,0
235,CASH_OUT,110024.64,9141.0,0.0,158419.92,410385.0,0
135,CASH_IN,453129.2,3.6659982e+06,4.1191275e+06,1.1568436e+06,703714.44,0
517,TRANSFER,4.993939e+06,4.993939e+06,0.0,0.0,0.0,1
156,CASH_OUT,439547.7,15951.0,0.0,538679.1,978226.8,0
538,PAYMENT,19763.98,16727.59,0.0,0.0,0.0,0
38,PAYMENT,21686.3,43066.0,21379.7,0.0,0.0,0
230,CASH_IN,43792.16,202318.0,246110.16,3.7092628e+06,3.6559562e+06,0
85,CASH_OUT,678058.75,678058.75,0.0,7.1759585e+06,7.854017e+06,1
364,TRANSFER,3.1168895e+06,3.1168895e+06,0.0,0.0,0.0,1
255,CASH_OUT,594089.06,0.0,0.0,1.3139038e+06,1.9079928e+06,0
215,PAYMENT,9170.97,39960.0,30789.03,0.0,0.0,0
604,CASH_OUT,203848.61,203848.61,0.0,188810.39,392659.0,1
330,PAYMENT,3641.35,33115.0,29473.65,0.0,0.0,0
372,CASH_IN,257880.8,19.0,257899.8,201303.83,0.0,0
410,CASH_OUT,1.2320138e+06,1.2320138e+06,0.0,0.0,1.2320138e+06,1
202,CASH_IN,312735.03,4.5325015e+06,4.8452365e+06,1.8879199e+06,1.5751849e+06,0
188,PAYMENT,28379.23,0.0,0.0,0.0,0.0,0
135,CASH_OUT,27997.82,6992.0,0.0,2.5010985e+06,4.1855668e+06,0
173,TRANSFER,8.5945e+06,8.5945e+06,0.0,0.0,0.0,1
354,CASH_IN,305260.06,3.020414e+06,3.325674e+06,5.6958125e+06,5.3905525e+06,0
142,CASH_OUT,73064.41,73064.41,0.0,187838.1,260902.5,1
254,TRANSFER,552381.56,129600.0,0.0,0.0,552381.56,0
378,CASH_OUT,70517.43,0.0,0.0,198670.14,269187.56,0
388,TRANSFER,960196.2,960196.2,0.0,0.0,0.0,1
233,CASH_IN,222391.31,222899.7,445291.0,831290.75,608899.44,0
631,TRANSFER,952234.1,952234.1,0.0,0.0,0.0,1
403,CASH_OUT,26724.25,22125.0,0.0,0.0,26724.25,0
249,CASH_OUT,133262.44,0.0,0.0,744444.4,877706.75,0
369,PAYMENT,4069.26,0.0,0.0,0.0,0.0,0
182,PAYMENT,36509.37,163901.0,127391.63,0.0,0.0,0
59,CASH_OUT,2.0507278e+06,2.0507278e+06,0.0,0.0,2.0507278e+06,1
162,PAYMENT,11170.76,0.0,0.0,0.0,0.0,0
282,CASH_OUT,123691.74,13420.0,0.0,1.00474156e+06,1.1284334e+06,0
374,CASH_OUT,492453.66,74482.0,0.0,0.0,492453.66,0
19,CASH_OUT,54578.88,0.0,0.0,1.4544122e+06,1.5089911e+06,0
403,PAYMENT,4242.02,50744.0,46501.98,0.0,0.0,0
332,CASH_OUT,123614.59,0.0,0.0,7.59428e+06,7.7178945e+06,0
86,TRANSFER,305817.12,305817.12,0.0,0.0,0.0,1
397,CASH_OUT,309459.16,0.0,0.0,4.557911e+06,4.86737e+06,0
281,CASH_OUT,86422.21,852.0,0.0,0.0,86422.21,0
190,CASH_OUT,299276.1,0.0,0.0,1.0954632e+06,1.3947392e+06,0
236,TRANSFER,530579.4,0.0,0.0,1.0920579e+06,1.7628892e+06,0
187,CASH_OUT,856386.7,856386.7,0.0,256445.98,1.1128326e+06,1
260,CASH_IN,252633.39,500426.0,753059.4,2.3594388e+06,2.1068052e+06,0
537,CASH_OUT,127447.68,127447.68,0.0,1.274457e+06,1.4019046e+06,1
17,PAYMENT,3887.23,0.0,0.0,0.0,0.0,0
83,CASH_OUT,1.534927e+06,1.534927e+06,0.0,0.0,1.534927e+06,1
259,PAYMENT,2035.95,17921.0,15885.05,0.0,0.0,0
369,CASH_IN,37436.61,32991.0,70427.61,620822.2,583385.6,0
15,CASH_IN,81447.3,9.835758e+06,9.917205e+06,442573.66,247747.02,0
39,CASH_OUT,2.0708142e+06,2.0708142e+06,0.0,0.0,2.0708142e+06,1
134,CASH_OUT,334702.88,0.0,0.0,1.9852204e+07,2.0186908e+07,0
490,TRANSFER,422648.88,422648.88,0.0,0.0,0.0,1
283,TRANSFER,101515.68,101515.68,0.0,0.0,0.0,1
501,TRANSFER,705647.7,705647.7,0.0,0.0,0.0,1
311,PAYMENT,4991.05,159968.0,154976.95,0.0,0.0,0
282,CASH_OUT,181647.66,181647.66,0.0,159001.95,340649.62,1
403,PAYMENT,7351.31,51222.0,43870.69,0.0,0.0,0
235,CASH_OUT,260438.25,0.0,0.0,2.7524188e+06,3.012857e+06,0
354,CASH_IN,72040.55,8.652176e+06,8.724217e+06,697292.3,625251.75,0
132,CASH_IN,51369.82,16182.0,67551.82,0.0,0.0,0
283,PAYMENT,31156.09,0.0,0.0,0.0,0.0,0
357,TRANSFER,2.2394612e+06,2.2394612e+06,0.0,0.0,0.0,1
333,CASH_IN,155377.27,2.7739826e+07,2.7895202e+07,1.2259304e+06,1.0705531e+06,0
324,CASH_OUT,183886.1,11590.0,0.0,85602.68,269488.78,0
355,CASH_OUT,29804.63,0.0,0.0,668644.94,698449.56,0
338,CASH_OUT,119443.3,119443.3,0.0,890204.06,1.0096474e+06,1
301,CASH_IN,172306.86,1.2174305e+06,1.3897374e+06,3.407377e+06,3.2350702e+06,0
575,CASH_OUT,1.4899162e+06,1.4899162e+06,0.0,3.2398625e+06,4.729779e+06,1
359,TRANSFER,7.4288445e+06,7.4288445e+06,0.0,0.0,0.0,1
337,CASH_OUT,658637.4,658637.4,0.0,0.0,658637.4,1
137,CASH_IN,11404.85,1.0358754e+07,1.0370159e+07,28686.15,17281.3,0
330,CASH_IN,109294.8,40314.0,149608.8,274179.9,164885.11,0
469,PAYMENT,31213.27,110072.0,78858.73,0.0,0.0,0
15,PAYMENT,27556.4,0.0,0.0,0.0,0.0,0
397,CASH_OUT,70622.64,0.0,0.0,644400.3,715022.94,0
388,TRANSFER,236388.4,236388.4,0.0,0.0,0.0,1
735,TRANSFER,123146.28,123146.28,0.0,0.0,0.0,1
704,TRANSFER,8.813323e+06,8.813323e+06,0.0,0.0,0.0,1
19,CASH_OUT,98068.54,197.0,0.0,375461.94,473530.5,0
94,CASH_IN,165695.31,3.5900155e+06,3.7557108e+06,281137.88,115442.56,0
38,CASH_OUT,2395.29,2395.29,0.0,276538.6,470937.03,1
379,CASH_OUT,405740.12,0.0,0.0,7.723101e+06,8.1053025e+06,0
288,TRANSFER,44116.87,44116.87,0.0,0.0,0.0,1
336,CASH_OUT,170038.31,170038.31,0.0,88268.89,258307.2,1
21,CASH_IN,275515.8,1.8312166e+06,2.1067325e+06,4.33151e+06,4.0559942e+06,0
201,TRANSFER,512660.7,0.0,0.0,2.0894078e+06,2.6020685e+06,0
153,CASH_OUT,115535.52,115535.52,0.0,0.0,115535.52,1
52,TRANSFER,1.0931552e+06,1.0931552e+06,0.0,0.0,0.0,1
237,PAYMENT,14522.59,30393.0,15870.41,0.0,0.0,0
236,PAYMENT,8224.48,21218.0,12993.52,0.0,0.0,0
166,PAYMENT,15078.23,8112.0,0.0,0.0,0.0,0
278,PAYMENT,26032.97,21595.41,0.0,0.0,0.0,0
14,CASH_OUT,274354.97,43574.09,0.0,38961.01,0.0,0
204,CASH_IN,52615.36,2.0232715e+06,2.0758869e+06,853764.9,801149.56,0
517,CASH_OUT,699183.6,699183.6,0.0,1.3550856e+06,2.0542692e+06,1
154,PAYMENT,11961.84,20947.0,8985.16,0.0,0.0,0
567,CASH_OUT,3596.83,3596.83,0.0,695666.2,699263.0,1
232,PAYMENT,29289.25,0.0,0.0,0.0,0.0,0
155,PAYMENT,24878.68,20817.0,0.0,0.0,0.0,0
600,CASH_OUT,49434.25,49434.25,0.0,0.0,49434.25,1
43,CASH_IN,331374.62,267875.44,599250.06,488605.56,157230.94,0
14,CASH_OUT,132214.7,263887.62,131672.92,206206.48,0.0,0
167,PAYMENT,11139.76,454207.0,443067.25,0.0,0.0,0
626,TRANSFER,55740.39,55740.39,0.0,0.0,0.0,1
63,TRANSFER,1.693962e+06,1.693962e+06,0.0,0.0,0.0,1
176,TRANSFER,665489.3,665489.3,0.0,0.0,0.0,1
10,CASH_OUT,9217.19,9217.19,0.0,0.0,9217.19,1
213,CASH_IN,26937.35,69900.0,96837.35,746833.75,719896.44,0
538,PAYMENT,7692.38,710403.94,702711.56,0.0,0.0,0
132,CASH_OUT,428158.72,0.0,0.0,920895.56,1.3490542e+06,0
230,PAYMENT,9736.46,20417.0,10680.54,0.0,0.0,0
660,TRANSFER,6749.18,6749.18,0.0,0.0,0.0,1
302,TRANSFER,43235.71,43235.71,0.0,0.0,0.0,1
182,CASH_OUT,57087.33,0.0,0.0,431217.03,488304.38,0
37,PAYMENT,13222.52,953641.0,940418.5,0.0,0.0,0
354,PAYMENT,786.44,181051.84,180265.4,0.0,0.0,0
309,TRANSFER,3.490916e+06,3.490916e+06,0.0,0.0,0.0,1
299,TRANSFER,325537.4,304471.8,0.0,3.4010388e+06,3.726576e+06,0
12,TRANSFER,19472.0,19472.0,0.0,0.0,0.0,1
257,CASH_OUT,235058.28,0.0,0.0,411857.22,646915.5,0
595,PAYMENT,2273.21,0.0,0.0,0.0,0.0,0
527,CASH_OUT,356207.06,0.0,0.0,514817.16,871024.25,0
213,PAYMENT,5481.51,132110.48,126628.96,0.0,0.0,0
310,PAYMENT,16629.67,79465.0,62835.33,0.0,0.0,0
37,CASH_OUT,112719.61,0.0,0.0,467200.7,579920.25,0
273,TRANSFER,95235.46,95235.46,0.0,0.0,0.0,1
